Category,Check Name,Status,Score,Severity,Confidence,OWASP,CWE,Details
advanced_security,Cross-Origin-Embedder-Policy,warn,500,low,80,A01:2021,CWE-346,"Cross-Origin-Embedder-Policy header is missing (optional advanced header, not practical for sites using external resources)"
advanced_security,Cross-Origin-Opener-Policy,warn,800,low,80,A01:2021,CWE-346,"COOP set to same-origin-allow-popups (good isolation, allows popups)"
advanced_security,Cross-Origin-Resource-Policy,warn,850,low,80,A01:2021,CWE-346,CORP set to same-site (good restriction)
advanced_security,OCSP Stapling,pass,1000,info,90,A02:2021,CWE-299,OCSP Stapling is enabled
backup_files,Backup & Sensitive Files Exposure,pass,1000,info,80,A05,CWE-538,
cms_cve,Wordpress unknown — Known CVEs,pass,950,info,80,,,
content,Cache Headers,warn,550,medium,100,,CWE-16,Minimal caching: Cache-Control with max-age=600
content,Compression Ratio,pass,1000,info,85,,CWE-16,"Compression ratio: 0.18 (82.2% savings, br encoding, compressed: 55756 bytes, uncompressed: 313753 bytes)"
content,Page Size,warn,705,low,100,,CWE-16,Page size: 306.4 KB (score: 705/1000)
cookies,Cookie Security,pass,1000,info,100,A01:2021,CWE-614,No cookies set on initial response
cors,CORS Credentials,pass,1000,info,100,A01:2021,CWE-942,CORS credentials configuration is secure
cors,CORS Wildcard Origin,pass,1000,info,100,A01:2021,CWE-942,No CORS header exposed to foreign origins
ddos,CDN/DDoS Protection Service,pass,1000,info,85,A05:2021,CWE-770,DDoS protection detected: Cloudflare
ddos,Rate Limiting,warn,250,high,70,A04:2021,CWE-770,No rate limiting headers detected (may still be configured server-side)
ddos,Web Application Firewall (WAF),pass,1000,info,75,A05:2021,CWE-693,Web Application Firewall detected
directory,Admin Panel Exposure,pass,850,info,80,A01:2021,CWE-425,"WordPress admin panel detected — this is standard CMS behavior, not a vulnerability. Protected by authentication."
directory,Backup Directory Exposure,pass,1000,info,85,A05:2021,CWE-538,Path not found
directory,Environment File Exposure,pass,900,info,85,A05:2021,CWE-538,Path blocked by WAF/CDN (403): /.env - well protected
directory,Git Repository Exposure,pass,900,info,85,A01:2021,CWE-538,Path blocked by WAF/CDN (403): /.git/config - well protected
directory,Htaccess File Exposure,pass,900,info,85,A05:2021,CWE-538,Path blocked by WAF/CDN (403): /.htaccess - well protected
directory,PHP Info Exposure,pass,1000,info,90,A05:2021,CWE-538,Path not found
directory,Robots.txt Exposure,pass,875,info,100,A05:2021,CWE-538,robots.txt found with disallow rules - review for sensitive path disclosure
directory,Server Status Exposure,pass,1000,info,90,A05:2021,CWE-538,Path not found
directory,WordPress Config Backup,pass,900,info,85,A05:2021,CWE-538,Path blocked by WAF/CDN (403): /wp-config.php.bak - well protected
dns,CAA Record (Certificate Authority),pass,925,info,90,A02:2021,CWE-295,Domain uses Cloudflare DNS which provides automatic CAA management and certificate issuance control
dns,DMARC Record (Email Security),pass,1000,info,100,A07:2021,CWE-290,DMARC record found
dns,SPF Record (Email Security),pass,1000,info,100,A07:2021,CWE-290,SPF record found
email_security,BIMI Record,warn,500,low,100,,,No BIMI record found
email_security,DKIM Record,pass,1000,info,100,A05:2021,CWE-290,DKIM record found
email_security,Email Security Score,warn,750,low,95,A05:2021,CWE-290,"Email security: 3/4 components configured (SPF, DKIM, DMARC, BIMI)"
headers,Content Security Policy,pass,1000,info,100,A03:2021,CWE-79,CSP present with specific sources and no unsafe directives
headers,HSTS,pass,1000,info,100,A05:2021,CWE-523,"HSTS fully configured with max-age >= 1 year, includeSubDomains, and preload"
headers,Permissions-Policy,pass,1000,info,100,A01:2021,CWE-250,Permissions-Policy present with restrictive settings
headers,Referrer-Policy,pass,1000,info,100,A01:2021,CWE-200,Referrer-Policy set to no-referrer (most restrictive)
headers,X-Content-Type-Options,pass,1000,info,100,A05:2021,CWE-16,X-Content-Type-Options correctly set to nosniff
headers,X-Frame-Options,pass,900,info,100,A01:2021,CWE-1021,X-Frame-Options set to SAMEORIGIN
headers,X-XSS-Protection,pass,1000,info,100,A03:2021,CWE-79,X-XSS-Protection enabled with mode=block
hosting,Brotli Compression,pass,1000,info,100,,CWE-16,Compression: brotli (score: 1000/1000)
